,Title,Summary,Location,Company,Salary
108,Dell Boomi Presales Engineer – Singapore,"Database skills including SQL, data modeling, and databases (e.g.Familiarity with other API Management, Master Data Management (MDM), B2B/EDI and Workflow (BPM…",Singapore,Dell,
109,Logistics and Warehousing Intern,Thales people architect solutions that enable two-thirds of planes to take off and land safely.Answer business questions through data analysis (to assess the…,Singapore,Thales Group,
110,Business Analyst (IT),Assist pre-sale in architect technical solution.Participate and mange data and solution migration.Provide first class remote and on-site technical support …,Singapore,Y3 TECHNOLOGIES PTE LTD,"$3,000 - $5,000 a month"
111,Data Scientist (Junior/Senior/Principal/Architect) - Singapo...,"Train data model based on our current data.Enhance our data infra, analyze large, complex data sets into actionable insights.Proficiency in Java or Phyton.",Singapore,Cermati.com,
112,Network Engineer,"Basic Degree in Computer Science, Computer Engineering, Information Technology or relevant qualifications.Basic Solution Architect for Azure Cloud - monitoring…",Queenstown,SIMPLERCLOUD PTE. LTD.,"$2,800 - $3,500 a month"
113,"VP, Senior Big Data Engineer, Group Consumer Banking and Big...","Analyze source data and data flows, working with structured and unstructured data.As a Senior Data Engineer you'll be a Machine Learning and Data Engineering…",Singapore,DBS Bank,
114,Professional Services - Cloud Architect,Masters degree in Computer Science.Computer Science or Math background preferred.These professional services engagements will focus on key customer solutions…,Singapore,Amazon Web Services Singapore,
115,Cloud Architect,"Obtained a Bachelor's Degree in Computer Science, other technical field.In a typical day as a Cloud Architect, you would..Join us and make your mark!",Singapore,Hewlett Packard Enterprise,
116,SENIOR SOLUTIONS ARCHITECT,Alliance Data participates in E-Verify.Epsilon is an Alliance Data company.Expert at SQL / Stored Procedures - should be able to architect and specify…,Singapore,Epsilon,
117,Mobile Security Architect,Plan and carry out security measures in accordance with the organizations information security strategy in order to monitor and protect sensitive data and…,Singapore,percept-solutions,"$10,000 - $15,000 a month"
118,Senior Software Engineer,"Able to design and architect solutions as well as set technical standards.As a member of the Workplace Engineering Data and Tools Development team, you will…",Singapore,,
119,Senior Service Architect,The Senior Services Architect is a service solution crafter for clients in the Dimension Data business and assists with the identification of services sales.,Kallang,Dimension Data,
