,Title,Location,Company,Salary
362,Intelligence Analyst,,Everbridge,"£25,000 - £35,000 a year"
363,Data and Operations Analyst,,Bridges Outcomes Partnerships,"£33,000 a year"
364,Analyst (f/m/d) UK,,innogy Consulting GmbH,
365,Data Analyst,,Applied Data Science Partners,
366,Data Analyst,,inspiratia,
367,Data Analyst,,TalentPool,"£30,000 a year"
368,Data Analyst,London,Mediaforce Group,
369,Junior Data Analyst,London,Smarkets,
370,Financial Business Data Analyst,London,Pernod Ricard,
371,Senior Data Analyst,London,JLL,
372,Data Analyst,London,Badoo,
373,Data Analyst,London,MagicLab,
374,DATA ARCHITECT,London,Bangura Solutions,
375,Data Analyst,Paddington,Marks & Spencer,
376,Graduate Data Scientist,London,KANTAR,
377,IT Service Desk Analyst,London E20,GVC Careers,"£25,000 a year"
378,Data Visualisation Analyst,,Knight Frank,
379,Data Analyst,,BCD Travel Corporate,
380,Data Management Analyst Graduate Programme,,Kubrick Group,
381,Data and Operations Analyst,,Bridges Outcomes Partnerships,"£33,000 a year"
382,Intelligence Analyst,,Everbridge,"£25,000 - £35,000 a year"
383,Data Analyst,,BCD Travel Corporate,
384,Data Management Analyst Graduate Programme,,Kubrick Group,
385,Data Visualisation Analyst,,Knight Frank,
386,Business Data Analyst - Operations,London,Hostmaker,
387,Data and Insight Analyst,London,Quorso,
388,Senior Data Analyst,London,Source,"£27,000 - £45,000 a year"
389,Data Engineer,London SE1,tuiinfotec,
390,Graduate Data Analyst,London,Aspire,"£22,000 - £26,000 a year"
391,Data Analyst,London,ADLIB,"£65,000 a year"
392,Business Analyst,London,Qatar Airways,
393,Graduate Data Science Analyst,London,Datatech Analytics,
394,Data Strategy Analyst in the Data Strategy Team within the D...,London E14,Ministry of Justice,"£30,845 - £38,373 a year"
395,London Research Analyst Intern 2020,London,"The Brattle Group, Inc.",
396,Data Analyst,,TalentPool,"£30,000 a year"
397,Analyst (f/m/d) UK,,innogy Consulting GmbH,
398,Data Analyst,,Applied Data Science Partners,
399,Data Analyst,,inspiratia,
400,Data and Operations Analyst,,Bridges Outcomes Partnerships,"£33,000 a year"
401,Intelligence Analyst,,Everbridge,"£25,000 - £35,000 a year"
402,Data Analyst,,BCD Travel Corporate,
403,Data Management Analyst Graduate Programme,,Kubrick Group,
404,Data Visualisation Analyst,,Knight Frank,
405,Data Analyst - Operations,London,Zencargo,"£35,000 - £40,000 a year"
406,Research Analyst - Insights,London,Nielsen,
407,Business Analyst,London,Cyient,
408,DATA ANALYST,London,Spring,
409,Data Admin Assistant / Analyst,South West London,Wells Tobias,"£22,000 - £24,000 a year"
410,Data Operations Analyst,London,Cardlytics,
411,Content Creative,London SE1,"The Ogilvy Group, LLC",
412,Data Analyst,Chelsea,inspiratia,
413,Data Analytics Manager,London W12,BBC,
414,Entity Reference Data Analyst,London,Page Personnel - UK,"£35,000 - £37,000 a year"
415,Data Analyst,,TalentPool,"£30,000 a year"
416,Analyst (f/m/d) UK,,innogy Consulting GmbH,
417,Data Analyst,,Applied Data Science Partners,
418,Data Analyst,,inspiratia,
419,Data Management Analyst Graduate Programme,,Kubrick Group,
